Date,State/Territory,Barrels (Thousands)
11/1/2008,Federal Offshore Gulf of Mexico Crude Oil,1090
11/1/2008,Federal Offshore Pacific Crude Oil,66
11/1/2008,Florida,6
11/1/2008,Idaho,0
11/1/2008,Illinois,25
11/1/2008,Indiana,5
11/1/2008,Kansas,111
11/1/2008,Kentucky,11
11/1/2008,Louisiana,198
11/1/2008,Michigan,17
11/1/2008,Mississippi,61
11/1/2008,Missouri,0
11/1/2008,Montana,86
11/1/2008,Nebraska,7
11/1/2008,Nevada,1
11/1/2008,New Mexico,171
11/1/2008,New York,1
11/1/2008,North Dakota,214
11/1/2008,Ohio,14
11/1/2008,Oklahoma,181
11/1/2008,Pennsylvania,8
11/1/2008,South Dakota,5
11/1/2008,Tennessee,1
11/1/2008,Texas,1141
11/1/2008,U.S. Crude Oil ,5078
11/1/2008,Utah,66
11/1/2008,Virginia,0
11/1/2008,West Virginia,5
11/1/2008,Wyoming,147
12/1/2008,Alabama,22
12/1/2008,Alaska,702
12/1/2008,Arizona,0
12/1/2008,Arkansas,17
12/1/2008,California,579
12/1/2008,Colorado,83
12/1/2008,Federal Offshore Gulf of Mexico Crude Oil,1197
12/1/2008,Federal Offshore Pacific Crude Oil,68
12/1/2008,Florida,4
12/1/2008,Idaho,0
12/1/2008,Illinois,25
12/1/2008,Indiana,5
12/1/2008,Kansas,110
12/1/2008,Kentucky,4
12/1/2008,Louisiana,194
12/1/2008,Michigan,20
12/1/2008,Mississippi,63
12/1/2008,Missouri,0
12/1/2008,Montana,83
12/1/2008,Nebraska,7
12/1/2008,Nevada,1
12/1/2008,New Mexico,171
12/1/2008,New York,1
12/1/2008,North Dakota,201
12/1/2008,Ohio,14
12/1/2008,Oklahoma,176
12/1/2008,Pennsylvania,8
12/1/2008,South Dakota,5
12/1/2008,Tennessee,1
12/1/2008,Texas,1134
12/1/2008,U.S. Crude Oil ,5103
12/1/2008,Utah,62
12/1/2008,Virginia,0
12/1/2008,West Virginia,5
12/1/2008,Wyoming,143
1/1/2009,Alabama,21
1/1/2009,Alaska,679
1/1/2009,Arizona,0
1/1/2009,Arkansas,16
1/1/2009,California,579
1/1/2009,Colorado,85
1/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1281
1/1/2009,Federal Offshore Pacific Crude Oil,67
1/1/2009,Florida,2
1/1/2009,Idaho,0
1/1/2009,Illinois,23
1/1/2009,Indiana,4
1/1/2009,Kansas,112
1/1/2009,Kentucky,10
1/1/2009,Louisiana,188
1/1/2009,Michigan,17
1/1/2009,Mississippi,62
1/1/2009,Missouri,0
1/1/2009,Montana,81
1/1/2009,Nebraska,7
1/1/2009,Nevada,1
1/1/2009,New Mexico,171
1/1/2009,New York,1
1/1/2009,North Dakota,187
1/1/2009,Ohio,13
1/1/2009,Oklahoma,173
1/1/2009,Pennsylvania,8
1/1/2009,South Dakota,5
1/1/2009,Tennessee,1
1/1/2009,Texas,1133
1/1/2009,U.S. Crude Oil ,5138
1/1/2009,Utah,65
1/1/2009,Virginia,0
1/1/2009,West Virginia,3
1/1/2009,Wyoming,144
2/1/2009,Alabama,21
2/1/2009,Alaska,708
2/1/2009,Arizona,0
2/1/2009,Arkansas,16
2/1/2009,California,575
2/1/2009,Colorado,87
2/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1323
2/1/2009,Federal Offshore Pacific Crude Oil,65
2/1/2009,Florida,2
2/1/2009,Idaho,0
2/1/2009,Illinois,25
2/1/2009,Indiana,5
2/1/2009,Kansas,112
2/1/2009,Kentucky,7
2/1/2009,Louisiana,192
2/1/2009,Michigan,18
2/1/2009,Mississippi,62
2/1/2009,Missouri,0
2/1/2009,Montana,82
2/1/2009,Nebraska,7
2/1/2009,Nevada,1
2/1/2009,New Mexico,175
2/1/2009,New York,1
2/1/2009,North Dakota,191
2/1/2009,Ohio,13
2/1/2009,Oklahoma,193
2/1/2009,Pennsylvania,8
2/1/2009,South Dakota,5
2/1/2009,Tennessee,1
2/1/2009,Texas,1128
2/1/2009,U.S. Crude Oil ,5236
2/1/2009,Utah,66
2/1/2009,Virginia,0
2/1/2009,West Virginia,3
2/1/2009,Wyoming,143
3/1/2009,Alabama,20
3/1/2009,Alaska,709
3/1/2009,Arizona,0
3/1/2009,Arkansas,16
3/1/2009,California,577
3/1/2009,Colorado,86
3/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1355
3/1/2009,Federal Offshore Pacific Crude Oil,40
3/1/2009,Florida,2
3/1/2009,Idaho,0
3/1/2009,Illinois,27
3/1/2009,Indiana,5
3/1/2009,Kansas,108
3/1/2009,Kentucky,5
3/1/2009,Louisiana,190
3/1/2009,Michigan,17
3/1/2009,Mississippi,62
3/1/2009,Missouri,0
3/1/2009,Montana,81
3/1/2009,Nebraska,6
3/1/2009,Nevada,1
3/1/2009,New Mexico,173
3/1/2009,New York,1
3/1/2009,North Dakota,194
3/1/2009,Ohio,13
3/1/2009,Oklahoma,177
